alpha;x0;a;b;f_calls
1,5;-44,6178;-18,9889;13,0473;12
1,5;-31,8008;-14,7149;6,64257;19
1,5;-92,2037;-34,5386;37,5427;21
1,5;74,3924;57,3065;66,7987;18
1,5;-20,595;-9,20438;5,0339;21
1,5;-76,8746;9,623;117,745;23
1,5;81,4828;55,8539;70,0922;25
1,5;2,59563;-0,779372;1,09563;14
1,5;-89,9406;-32,2755;39,8058;22
1,5;-18,6013;-7,21065;7,02764;18
1,5;21,8774;-16,5659;4,79149;20
1,5;-70,774;-32,3306;15,7236;21
1,5;58,2954;61,6704;65,8892;16
1,5;-21,3124;-9,92182;4,31646;19
1,5;91,2202;52,7769;74,1343;20
1,5;-44,5503;-18,9213;13,1148;23
1,5;-18,5391;-7,14852;7,08976;18
1,5;-45,5239;-19,895;12,1412;19
1,5;-59,682;-21,2387;26,8155;21
1,5;6,04433;-1,54942;2,66933;15
1,5;-24,923;-7,83708;13,5203;17
1,5;-96,2392;-38,5742;33,5071;22
1,5;90,0991;51,6558;73,0132;28
1,5;-36,7273;-11,0984;20,9377;24
1,5;-70,0065;-31,5631;16,4911;19
1,5;27,3396;-11,1037;10,2537;19
1,5;-16,7585;-5,36786;8,87043;17
1,5;-92,5296;-34,8645;37,2168;22
1,5;24,8792;-13,5641;7,7933;22
1,5;19,2477;-6,38123;7,85705;19
1,5;76,6805;59,5945;69,0867;17
1,5;52,5238;60,1175;69,6097;18
1,5;59,015;61,265;64,0775;15
1,5;44,5913;-13,0737;18,9624;23
1,5;-27,0268;-9,94089;11,4165;17
1,5;25,4241;-13,0192;8,33821;19
1,5;47,6064;58,997;73,2353;17
1,5;-9,91155;-2,3178;7,17439;19
1,5;-64,3441;-25,9007;22,1535;19
1,5;-76,2146;10,283;118,405;24
1,5;-6,18758;-2,81258;1,40617;20
1,5;-83,0923;-25,4273;46,654;22
1,5;-85,6666;-28,0016;44,0797;23
1,5;98,0679;40,4029;72,439;22
1,5;77,4506;51,8217;66,06;23
1,5;-43,0424;-17,4135;14,6226;23
1,5;-48,9448;-10,5014;37,5528;21
1,5;70,3775;58,9869;65,315;16
1,5;-1,93991;-0,439912;1,43509;15
1,5;78,5345;52,9056;67,1438;17
1,5;28,7344;-9,70895;11,6485;24
1,5;34,6055;-23,0595;8,97659;21
1,5;39,2382;-18,4268;13,6093;20
1,5;-39,5872;-13,9583;18,0779;20
1,5;-98,5938;-40,9287;31,1526;20
1,5;98,3382;40,6732;72,7093;28
1,5;19,2425;-6,38639;7,85189;25
1,5;-68,0076;-29,5642;18,49;20
1,5;-1,91088;-0,410877;1,46412;13
1,5;-42,4358;-16,8069;15,2292;18
1,5;44,8063;-12,8587;19,1774;21
1,5;53,8519;58,9144;65,2425;14
1,5;-56,3002;-17,8568;30,1974;23
1,5;86,9828;48,5394;69,8969;19
1,5;70,6395;59,2489;65,577;23
1,5;-42,1754;-16,5465;15,4896;22
1,5;83,1023;57,4734;71,7117;19
1,5;-48,5015;-10,0581;37,9961;24
1,5;-29,7481;-12,6622;8,69525;18
1,5;98,5551;40,8901;72,9262;21
1,5;36,3984;-21,2667;10,7695;28
1,5;93,8362;55,3929;76,7503;20
1,5;46,9572;58,3478;72,5861;22
1,5;19,2335;-6,3954;7,84288;20
1,5;0,970357;-0,529643;0,970357;11
1,5;73,2188;56,1328;65,625;16
1,5;14,3976;-11,2313;3,00694;22
1,5;-98,1062;-40,4412;31,6401;21
1,5;98,7775;41,1124;73,1485;27
1,5;9,27556;-2,11506;4,21306;23
1,5;-29,2797;-12,1937;9,16369;18
1,5;-92,3354;-34,6703;37,411;22
1,5;75,8808;58,7949;68,2871;18
1,5;-21,4726;-4,38664;16,9708;23
1,5;-96,1058;-38,4408;33,6405;22
1,5;75,98;58,894;68,3862;27
1,5;-22,389;-5,30311;16,0543;23
1,5;-23,8741;-6,78814;14,5693;19
1,5;-99,8636;-42,1986;29,8827;22
1,5;9,42339;-1,96723;4,36089;22
1,5;90,8447;52,4014;73,7588;19
1,5;-7,77434;-2,71184;3,61628;18
1,5;-48,5484;-10,105;37,9492;20
1,5;53,969;59,0315;65,3596;15
1,5;-10,8428;-3,24905;6,24314;19
1,5;17,1282;-8,50075;5,73753;18
1,5;-74,1694;12,3281;120,45;22
1,5;17,4976;-8,13135;6,10693;25
1,5;-1,36687;-0,366868;0,883132;12
1,5;89,6093;51,1659;72,5233;18
