alpha;x*;y*;f_calls;min(local/global)
1,5;0;-7,15717e-18;8;lokalne
1,5;2,24876e-13;-7,15717e-18;7;lokalne
1,5;2,05746e-13;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;11;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;14;globalne
1,5;62,7482;-0,921148;8;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,27328e-13;-7,15717e-18;8;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,24847e-13;-7,15717e-18;9;lokalne
1,5;62,7482;-0,921148;9;globalne
1,5;2,29376e-14;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;11;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,29463e-13;-7,15717e-18;7;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,26671e-13;-7,15717e-18;7;lokalne
1,5;2,23769e-13;-7,15717e-18;6;lokalne
1,5;-3,57704e-14;-7,15717e-18;8;lokalne
1,5;2,17139e-13;-7,15717e-18;16;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;2,24857e-13;-7,15717e-18;6;lokalne
1,5;2,24789e-13;-7,15717e-18;7;lokalne
1,5;2,24849e-13;-7,15717e-18;7;lokalne
1,5;-1,52059e-14;-7,15717e-18;8;lokalne
1,5;0;-7,15717e-18;10;lokalne
1,5;-4,80161e-13;-7,15717e-18;8;lokalne
1,5;2,28556e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;9;globalne
1,5;62,7482;-0,921148;9;globalne
1,5;62,7482;-0,921148;10;globalne
1,5;2,24849e-13;-7,15717e-18;6;lokalne
1,5;2,28585e-13;-7,15717e-18;7;lokalne
1,5;2,24848e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;10;globalne
1,5;2,24498e-13;-7,15717e-18;6;lokalne
1,5;2,24647e-13;-7,15717e-18;9;lokalne
1,5;62,7482;-0,921148;13;globalne
1,5;-2,61551e-14;-7,15717e-18;8;lokalne
1,5;0;-7,15717e-18;9;lokalne
1,5;-6,25621e-13;-7,15717e-18;9;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;62,7482;-0,921148;11;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,24849e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;10;globalne
1,5;1,68622e-13;-7,15717e-18;6;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;-2,06405e-14;-7,15717e-18;8;lokalne
1,5;2,24853e-13;-7,15717e-18;7;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,24849e-13;-7,15717e-18;6;lokalne
1,5;2,39051e-13;-7,15717e-18;15;lokalne
1,5;62,7482;-0,921148;14;globalne
1,5;2,3066e-13;-7,15717e-18;7;lokalne
1,5;2,54563e-13;-7,15717e-18;8;lokalne
1,5;2,36871e-13;-7,15717e-18;6;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,24849e-13;-7,15717e-18;6;lokalne
1,5;62,7482;-0,921148;10;globalne
1,5;2,24883e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;14;globalne
1,5;62,7482;-0,921148;10;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;11;globalne
1,5;2,24849e-13;-7,15717e-18;7;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;62,7481;-0,921148;15;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;62,7482;-0,921148;9;globalne
1,5;2,34595e-13;-7,15717e-18;7;lokalne
1,5;1,81716e-13;-7,15717e-18;6;lokalne
1,5;62,7483;-0,921148;11;globalne
1,5;2,22363e-13;-7,15717e-18;7;lokalne
1,5;2,20813e-13;-7,15717e-18;14;lokalne
1,5;62,7482;-0,921148;14;globalne
1,5;2,27734e-13;-7,15717e-18;7;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,17172e-13;-7,15717e-18;8;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,77004e-13;-7,15717e-18;17;lokalne
1,5;62,7482;-0,921148;12;globalne
1,5;-1,5007e-13;-7,15717e-18;8;lokalne
1,5;0;-7,15717e-18;8;lokalne
1,5;2,20794e-13;-7,15717e-18;13;lokalne
1,5;2,27208e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;10;globalne
1,5;2,44955e-13;-7,15717e-18;7;lokalne
1,5;2,24849e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;10;globalne
1,5;2,26905e-13;-7,15717e-18;7;lokalne
1,5;2,24973e-13;-7,15717e-18;7;lokalne
1,5;62,7482;-0,921148;14;globalne
1,5;0;-7,15717e-18;8;lokalne
1,5;1,86092e-13;-7,15717e-18;6;lokalne
1,5;62,7482;-0,921148;12;globalne
