x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls
-0,933049;-6,28798;1,00001;2,99999;1,18007e-10;211;6
-7,17977;7,76291;0,99996;3,00005;4,41877e-09;211;6
9,76552;0,665548;1,00011;2,99988;2,5255e-08;211;6
-9,98302;-3,57949;0,999985;3,00001;4,33366e-10;211;6
-6,3017;-7,64339;1,00003;2,99997;1,42384e-09;211;6
6,66191;-5,57029;0,999981;3,00002;6,95246e-10;176;5
-7,69514;-0,012087;0,999981;3,00002;7,29538e-10;211;6
-0,744627;-0,497075;0,999999;3;1,73924e-12;211;6
-9,80621;7,18569;0,999964;3,00004;3,25125e-09;211;6
4,79598;6,70523;0,999981;3,00002;7,63874e-10;141;4
-9,45108;7,09556;0,999955;3,00005;4,77187e-09;211;6
5,36781;-4,47054;1,00001;2,99999;2,06345e-10;176;5
-6,147;-4,33708;0,999996;3;3,04232e-11;141;4
-2,60061;-1,26618;1,00001;2,99999;7,72942e-11;211;6
6,48651;-5,65951;1,00003;2,99998;2,12013e-09;211;6
-2,02386;1,36045;0,998064;3,00173;6,91401e-06;141;4
2,27093;9,20421;0,999993;3;1,07048e-10;176;5
-9,26758;8,89413;0,99999;3,00001;2,9394e-10;176;5
-8,92947;-1,35311;0,999988;3,00001;2,67196e-10;211;6
-5,76885;-2,56063;0,999988;3,00001;2,65177e-10;211;6
7,44431;4,54602;1;3;1,41465e-11;211;6
-6,79442;4,08839;0,999994;3,00001;9,10925e-11;176;5
3,97544;-5,3415;1,00001;2,99999;3,82634e-10;211;6
7,69635;-9,40567;1,00002;2,99998;7,0739e-10;176;5
3,03186;2,71288;1;3;1,12565e-11;176;5
-4,75549;-8,89533;1,00003;2,99997;2,05837e-09;211;6
-3,68886;-1,72083;1,00002;2,99998;1,16292e-09;141;4
-3,25781;-1,45602;1,00013;2,99987;3,47841e-08;141;4
0,308538;-7,45359;1;3;9,29208e-12;176;5
2,54514;8,92799;1;3;8,47366e-14;176;5
-3,56397;6,20134;0,999999;3;2,49585e-12;176;5
-2,94581;2,53603;1,00001;2,99999;1,08748e-10;211;6
2,83636;9,30705;0,999998;3;6,44036e-12;211;6
-9,61186;9,47527;1;3;1,68335e-11;176;5
-7,10186;-5,63284;1,00005;3,00001;1,28616e-08;176;5
-5,75512;-8,12468;1,00004;2,99996;3,08445e-09;211;6
-4,78064;5,92398;0,999973;3,00003;1,90308e-09;211;6
-1,3993;-7,72339;1,00076;2,99905;1,62502e-06;141;4
7,87166;-1,72292;0,999991;3,00001;1,4241e-10;176;5
1,57481;2,79592;0,99992;3,00008;1,2243e-08;106;3
-8,67704;5,76798;1;3;3,68932e-12;211;6
-5,63491;-5,95224;1,00003;2,99997;2,22591e-09;211;6
4,41588;-6,27461;1,00001;2,99999;3,95924e-10;176;5
5,81034;-8,05879;1;3;6,4469e-13;176;5
2,22588;-2,78564;1;3;5,35788e-11;211;6
-1,00875;-2,50152;0,999999;3;3,7514e-12;211;6
6,91743;-9,81103;0,999997;3;2,19555e-11;176;5
5,30042;0,179165;0,999997;3,00001;5,55072e-11;176;5
2,8451;-5,39035;1,00001;2,99999;1,51864e-10;211;6
3,29002;-5,61181;1,0001;2,9999;1,90709e-08;211;6
6,49851;-4,53901;0,999997;3;1,22337e-11;176;5
-6,17269;9,49088;0,999998;3;5,09559e-12;176;5
-6,21486;8,95368;0,999999;3;1,88355e-12;176;5
-5,84126;-1,74814;0,999979;3,00002;8,43306e-10;211;6
8,95841;0,912342;1,00007;2,99993;9,98192e-09;211;6
-4,77857;-6,76087;1,00002;2,99998;1,05927e-09;211;6
-0,0504184;-6,57929;0,999989;3,00001;2,68417e-10;211;6
9,30921;-4,32968;0,999997;3;1,84701e-11;176;5
0,318069;8,35843;0,99998;3,00002;8,69512e-10;211;6
-8,36132;-8,358;1,00002;2,99998;1,08271e-09;211;6
-5,61431;-6,80447;1,00003;2,99997;2,01336e-09;211;6
9,33634;-3,09554;1,00001;2,99999;1,25623e-10;176;5
-8,6561;9,82825;1;3;9,70887e-13;176;5
1,25555;7,55798;0,999994;3,00001;6,70112e-11;211;6
-4,54563;8,50196;0,99919;3,00092;1,54699e-06;106;3
8,78336;4,37062;0,999852;3,00016;4,76957e-08;141;4
-2,80656;9,41309;0,999996;3;2,72679e-11;176;5
-7,34543;-9,04208;1,00005;2,99995;4,74835e-09;211;6
8,08479;4,92279;1,00002;2,99998;7,00966e-10;211;6
3,38509;-6,91517;1,00003;2,99997;2,21615e-09;211;6
-7,36422;-3,99096;0,999986;3,00001;3,80246e-10;211;6
-8,40343;-7,39486;1,00001;2,99999;7,77429e-11;211;6
-0,63913;2,10254;0,999004;3,00089;1,83378e-06;141;4
2,92113;-4,07887;1,00002;2,99997;1,14245e-09;211;6
-0,0157593;4,71373;0,999998;3;5,5857e-12;176;5
-0,479059;9,17839;0,999986;3,00001;3,98322e-10;211;6
5,65074;1,335;1,00001;2,99999;3,89471e-10;176;5
8,06351;9,94634;0,99995;3,00005;5,36449e-09;141;4
-6,18331;-8,89585;1,00003;2,99997;1,8747e-09;211;6
-6,81485;7,73353;0,999982;3,00002;8,33312e-10;211;6
1,17996;-3,80538;0,998733;3,00091;2,94959e-06;141;4
2,78712;-1,48441;1,00003;2,99997;1,77669e-09;211;6
7,40112;-4,5268;0,998363;3,00146;4,93202e-06;106;3
-6,3808;-3,20174;0,999986;3,00001;3,47041e-10;211;6
5,24638;-9,51203;1,00001;2,99999;1,70102e-10;176;5
-0,000803734;-7,96114;1;3;3,99722e-11;174;5
1,98611;8,43418;0,999759;3,00019;1,04973e-07;141;4
0,184925;-5,04278;0,999999;3;4,02532e-11;211;6
-6,12031;-4,12867;1;3;8,7421e-13;141;4
-8,6965;-3,77312;0,999965;3,00003;2,33994e-09;211;6
-5,62464;-2,32508;0,999978;3,00002;9,28183e-10;211;6
1,83736;-5,43639;1,00005;2,99995;5,49232e-09;211;6
2,09908;2,543;0,999872;3,00013;3,23918e-08;106;3
-1,58563;1,17987;0,998548;3,00135;3,96935e-06;141;4
0,138473;-7,65364;1;3;5,00172e-13;211;6
-4,52124;4,0755;0,999979;3,00002;8,84604e-10;211;6
9,02777;-5,90565;1,00002;2,99998;5,15273e-10;176;5
5,46214;2,99094;1,00026;2,99992;2,01597e-07;141;4
8,79457;0,76391;1,00001;2,99999;2,35772e-10;211;6
-4,70493;-7,7874;1,00002;2,99997;1,23182e-09;211;6
