x0_1;x0_2;x1*;x2*;y*;f_calls;g_calls;h_calls
-0,933049;-6,28798;1;3;2,10418e-20;100;3;3
-7,17977;7,76291;1;3;4,8307e-21;100;3;3
9,76552;0,665548;1;3;8,78012e-21;100;3;3
-9,98302;-3,57949;1;3;4,95401e-20;100;3;3
-6,3017;-7,64339;1;3;5,15609e-20;100;3;3
6,66191;-5,57029;1;3;4,93888e-21;100;3;3
-7,69514;-0,012087;1;3;2,24332e-20;100;3;3
-0,744627;-0,497075;1;3;1,35067e-13;67;2;2
-9,80621;7,18569;1;3;1,09742e-20;100;3;3
4,79598;6,70523;1;3;2,7322e-13;67;2;2
-9,45108;7,09556;1;3;1,01927e-20;100;3;3
5,36781;-4,47054;1;3;4,01916e-21;100;3;3
-6,147;-4,33708;1;3;3,34623e-20;100;3;3
-2,60061;-1,26618;1;3;9,8786e-21;100;3;3
6,48651;-5,65951;1;3;5,15247e-21;100;3;3
-2,02386;1,36045;1;3;1,06631e-13;67;2;2
2,27093;9,20421;1;3;9,34375e-21;100;3;3
-9,26758;8,89413;1;3;7,67967e-21;100;3;3
-8,92947;-1,35311;1;3;3,30874e-20;100;3;3
-5,76885;-2,56063;1;3;2,42724e-20;100;3;3
7,44431;4,54602;1;3;1,06083e-20;100;3;3
-6,79442;4,08839;1;3;8,5714e-21;100;3;3
3,97544;-5,3415;1;3;6,86209e-21;100;3;3
7,69635;-9,40567;1;3;1,16655e-20;100;3;3
3,03186;2,71288;1;3;1,76824e-14;67;2;2
-4,75549;-8,89533;1;3;5,03605e-20;100;3;3
-3,68886;-1,72083;1;3;1,41227e-20;100;3;3
-3,25781;-1,45602;1;3;1,21118e-20;100;3;3
0,308538;-7,45359;1;3;2,15007e-20;100;3;3
2,54514;8,92799;1;3;9,24803e-21;100;3;3
-3,56397;6,20134;1;3;1,3647e-21;100;3;3
-2,94581;2,53603;1;3;1,00964e-13;67;2;2
2,83636;9,30705;1;3;1,09315e-20;100;3;3
-9,61186;9,47527;1;3;7,90365e-21;100;3;3
-7,10186;-5,63284;1;3;4,46733e-20;100;3;3
-5,75512;-8,12468;1;3;5,13282e-20;100;3;3
-4,78064;5,92398;1;3;2,64447e-21;100;3;3
-1,3993;-7,72339;1;3;2,86946e-20;100;3;3
7,87166;-1,72292;1;3;3,11893e-21;100;3;3
1,57481;2,79592;1;3;9,94686e-16;67;2;2
-8,67704;5,76798;1;3;1,03584e-20;100;3;3
-5,63491;-5,95224;1;3;3,8847e-20;100;3;3
4,41588;-6,27461;1;3;8,32926e-21;100;3;3
5,81034;-8,05879;1;3;1,06902e-20;100;3;3
2,22588;-2,78564;1;3;4,18744e-21;100;3;3
-1,00875;-2,50152;1;3;9,2126e-21;100;3;3
6,91743;-9,81103;1;3;1,3796e-20;100;3;3
5,30042;0,179165;1;3;3,79896e-14;67;2;2
2,8451;-5,39035;1;3;8,68933e-21;100;3;3
3,29002;-5,61181;1;3;8,4809e-21;100;3;3
6,49851;-4,53901;1;3;3,67644e-21;100;3;3
-6,17269;9,49088;1;3;3,38291e-21;100;3;3
-6,21486;8,95368;1;3;3,32709e-21;100;3;3
-5,84126;-1,74814;1;3;2,15007e-20;100;3;3
8,95841;0,912342;1;3;7,28559e-21;100;3;3
-4,77857;-6,76087;1;3;3,8796e-20;100;3;3
-0,0504184;-6,57929;1;3;1,93112e-20;100;3;3
9,30921;-4,32968;1;3;4,48737e-21;100;3;3
0,318069;8,35843;1;3;1,25875e-13;67;2;2
-8,36132;-8,358;1;3;6,8542e-20;100;3;3
-5,61431;-6,80447;1;3;4,31776e-20;100;3;3
9,33634;-3,09554;1;3;4,49183e-21;100;3;3
-8,6561;9,82825;1;3;6,09114e-21;100;3;3
1,25555;7,55798;1;3;1,22492e-13;67;2;2
-4,54563;8,50196;1;3;2,1633e-21;100;3;3
8,78336;4,37062;1;3;1,4094e-20;100;3;3
-2,80656;9,41309;1;3;2,93466e-21;100;3;3
-7,34543;-9,04208;1;3;6,65384e-20;100;3;3
8,08479;4,92279;1;3;1,34135e-20;100;3;3
3,38509;-6,91517;1;3;1,17255e-20;100;3;3
-7,36422;-3,99096;1;3;3,76407e-20;100;3;3
-8,40343;-7,39486;1;3;6,2537e-20;100;3;3
-0,63913;2,10254;1;3;3,15392e-14;67;2;2
2,92113;-4,07887;1;3;5,67848e-21;100;3;3
-0,0157593;4,71373;1;3;6,38487e-15;67;2;2
-0,479059;9,17839;1;3;4,56151e-21;100;3;3
5,65074;1,335;1;3;6,48063e-14;67;2;2
8,06351;9,94634;1;3;3,1306e-20;100;3;3
-6,18331;-8,89585;1;3;5,84533e-20;100;3;3
-6,81485;7,73353;1;3;4,30496e-21;100;3;3
1,17996;-3,80538;1;3;7,86623e-21;100;3;3
2,78712;-1,48441;1;3;5,65465e-14;67;2;2
7,40112;-4,5268;1;3;3,63994e-21;100;3;3
-6,3808;-3,20174;1;3;2,94502e-20;100;3;3
5,24638;-9,51203;1;3;1,58746e-20;100;3;3
-0,000803734;-7,96114;1;3;2,45807e-20;100;3;3
1,98611;8,43418;1;3;6,92533e-21;100;3;3
0,184925;-5,04278;1;3;1,34405e-20;100;3;3
-6,12031;-4,12867;1;3;3,23837e-20;100;3;3
-8,6965;-3,77312;1;3;4,3415e-20;100;3;3
-5,62464;-2,32508;1;3;2,28056e-20;100;3;3
1,83736;-5,43639;1;3;1,07344e-20;100;3;3
2,09908;2,543;1;3;3,3082e-15;67;2;2
-1,58563;1,17987;1;3;9,4567e-14;67;2;2
0,138473;-7,65364;1;3;2,28488e-20;100;3;3
-4,52124;4,0755;1;3;3,92377e-21;100;3;3
9,02777;-5,90565;1;3;5,20434e-21;100;3;3
5,46214;2,99094;1;3;1,07072e-13;67;2;2
8,79457;0,76391;1;3;6,71106e-21;100;3;3
-4,70493;-7,7874;1;3;4,38411e-20;100;3;3
